,O*NET職業代碼,職業名稱,任務摘要,語意相似度,自動化風險分數
13276,29-2011,Cytogenetic Technologists,"Develop, implement, and monitor quality control and quality assurance programs to ensure accurate and precise test performance and reports.",0.342,0.9
13277,29-2011,Cytogenetic Technologists,"Develop, implement, and monitor quality control and quality assurance programs to ensure accurate and precise test performance and reports.",0.342,0.9
13278,29-2011,Cytogenetic Technologists,Stain slides to make chromosomes visible for microscopy.,-0.083,0.9
13279,29-2011,Cytogenetic Technologists,Stain slides to make chromosomes visible for microscopy.,-0.083,0.9
13280,29-2011,Cytogenetic Technologists,Stain slides to make chromosomes visible for microscopy.,-0.083,0.9
13281,29-2011,Cytogenetic Technologists,Stain slides to make chromosomes visible for microscopy.,-0.083,0.9
13282,29-2011,Cytogenetic Technologists,"Describe chromosome, FISH and aCGH analysis results in International System of Cytogenetic Nomenclature (ISCN) language.",0.045,0.9
13283,29-2011,Cytogenetic Technologists,"Describe chromosome, FISH and aCGH analysis results in International System of Cytogenetic Nomenclature (ISCN) language.",0.045,0.9
13284,29-2011,Cytogenetic Technologists,"Describe chromosome, FISH and aCGH analysis results in International System of Cytogenetic Nomenclature (ISCN) language.",0.045,0.9
13285,29-2011,Cytogenetic Technologists,"Describe chromosome, FISH and aCGH analysis results in International System of Cytogenetic Nomenclature (ISCN) language.",0.045,0.9
13286,29-2011,Cytogenetic Technologists,Evaluate appropriateness of received specimens for requested tests.,-0.012,0.9
13287,29-2011,Cytogenetic Technologists,Evaluate appropriateness of received specimens for requested tests.,-0.012,0.9
13288,29-2011,Cytogenetic Technologists,Evaluate appropriateness of received specimens for requested tests.,-0.012,0.9
13289,29-2011,Cytogenetic Technologists,Evaluate appropriateness of received specimens for requested tests.,-0.012,0.9
13290,29-2011,Cytogenetic Technologists,Create chromosome images using computer imaging systems.,0.004,0.9
13291,29-2011,Cytogenetic Technologists,Create chromosome images using computer imaging systems.,0.004,0.9
13292,29-2011,Cytogenetic Technologists,Create chromosome images using computer imaging systems.,0.004,0.9
13293,29-2011,Cytogenetic Technologists,Create chromosome images using computer imaging systems.,0.004,0.9
13294,29-2011,Cytogenetic Technologists,"Recognize and report abnormalities in the color, size, shape, composition, or pattern of cells.",-0.012,0.9
13295,29-2011,Cytogenetic Technologists,"Recognize and report abnormalities in the color, size, shape, composition, or pattern of cells.",-0.012,0.9
13296,29-2011,Cytogenetic Technologists,"Recognize and report abnormalities in the color, size, shape, composition, or pattern of cells.",-0.012,0.9
13297,29-2011,Cytogenetic Technologists,"Recognize and report abnormalities in the color, size, shape, composition, or pattern of cells.",-0.012,0.9
13298,29-2011,Cytogenetic Technologists,Determine optimal time sequences and methods for manual or robotic cell harvests.,0.007,0.9
13299,29-2011,Cytogenetic Technologists,Determine optimal time sequences and methods for manual or robotic cell harvests.,0.007,0.9
13300,29-2011,Cytogenetic Technologists,Determine optimal time sequences and methods for manual or robotic cell harvests.,0.007,0.9
13301,29-2011,Cytogenetic Technologists,Determine optimal time sequences and methods for manual or robotic cell harvests.,0.007,0.9
13302,29-2011,Cytogenetic Technologists,Communicate to responsible parties unacceptable specimens and suggest remediation for future submissions.,-0.002,0.9
13303,29-2011,Cytogenetic Technologists,Communicate to responsible parties unacceptable specimens and suggest remediation for future submissions.,-0.002,0.9
13304,29-2011,Cytogenetic Technologists,Communicate to responsible parties unacceptable specimens and suggest remediation for future submissions.,-0.002,0.9
13305,29-2011,Cytogenetic Technologists,Communicate to responsible parties unacceptable specimens and suggest remediation for future submissions.,-0.002,0.9
13306,29-2011,Cytogenetic Technologists,Select banding methods to permit identification of chromosome pairs.,-0.057,0.9
13307,29-2011,Cytogenetic Technologists,Select banding methods to permit identification of chromosome pairs.,-0.057,0.9
13308,29-2011,Cytogenetic Technologists,Select banding methods to permit identification of chromosome pairs.,-0.057,0.9
13309,29-2011,Cytogenetic Technologists,Select banding methods to permit identification of chromosome pairs.,-0.057,0.9
13310,29-2011,Cytogenetic Technologists,"Maintain laboratory equipment such as photomicroscopes, inverted microscopes, and standard darkroom equipment.",0.044,0.9
13311,29-2011,Cytogenetic Technologists,"Maintain laboratory equipment such as photomicroscopes, inverted microscopes, and standard darkroom equipment.",0.044,0.9
13312,29-2011,Cytogenetic Technologists,"Maintain laboratory equipment such as photomicroscopes, inverted microscopes, and standard darkroom equipment.",0.044,0.9
13313,29-2011,Cytogenetic Technologists,"Maintain laboratory equipment such as photomicroscopes, inverted microscopes, and standard darkroom equipment.",0.044,0.9
13314,29-2011,Cytogenetic Technologists,"Identify appropriate methods of specimen collection, preservation, or transport.",0.07,0.9
13315,29-2011,Cytogenetic Technologists,"Identify appropriate methods of specimen collection, preservation, or transport.",0.07,0.9
13316,29-2011,Cytogenetic Technologists,"Identify appropriate methods of specimen collection, preservation, or transport.",0.07,0.9
13317,29-2011,Cytogenetic Technologists,"Identify appropriate methods of specimen collection, preservation, or transport.",0.07,0.9
13318,29-2011,Cytogenetic Technologists,Archive case documentation and study materials as required by regulations and laws.,0.024,0.9
13319,29-2011,Cytogenetic Technologists,Archive case documentation and study materials as required by regulations and laws.,0.024,0.9
13320,29-2011,Cytogenetic Technologists,Archive case documentation and study materials as required by regulations and laws.,0.024,0.9
13321,29-2011,Cytogenetic Technologists,Archive case documentation and study materials as required by regulations and laws.,0.024,0.9
13322,29-2011,Cytogenetic Technologists,Supervise subordinate laboratory staff.,0.137,0.9
13323,29-2011,Cytogenetic Technologists,Supervise subordinate laboratory staff.,0.137,0.9
13324,29-2011,Cytogenetic Technologists,Supervise subordinate laboratory staff.,0.137,0.9
13325,29-2011,Cytogenetic Technologists,Supervise subordinate laboratory staff.,0.137,0.9
13326,29-2011,Cytogenetic Technologists,"Develop and implement training programs for trainees, medical students, resident physicians or post-doctoral fellows.",0.041,0.9
13327,29-2011,Cytogenetic Technologists,"Develop and implement training programs for trainees, medical students, resident physicians or post-doctoral fellows.",0.041,0.9
13328,29-2011,Cytogenetic Technologists,"Develop and implement training programs for trainees, medical students, resident physicians or post-doctoral fellows.",0.041,0.9
13329,29-2011,Cytogenetic Technologists,"Develop and implement training programs for trainees, medical students, resident physicians or post-doctoral fellows.",0.041,0.9
13330,29-2011,Cytogenetic Technologists,"Communicate test results or technical information to patients, physicians, family members, or researchers.",-0.001,0.9
13331,29-2011,Cytogenetic Technologists,"Communicate test results or technical information to patients, physicians, family members, or researchers.",-0.001,0.9
13332,29-2011,Cytogenetic Technologists,"Communicate test results or technical information to patients, physicians, family members, or researchers.",-0.001,0.9
13333,29-2011,Cytogenetic Technologists,"Communicate test results or technical information to patients, physicians, family members, or researchers.",-0.001,0.9
13334,29-2011,Cytogenetic Technologists,"Extract, measure, dilute as appropriate, label, and prepare DNA for array analysis.",0.044,0.9
13335,29-2011,Cytogenetic Technologists,"Extract, measure, dilute as appropriate, label, and prepare DNA for array analysis.",0.044,0.9
13336,29-2011,Cytogenetic Technologists,"Extract, measure, dilute as appropriate, label, and prepare DNA for array analysis.",0.044,0.9
13337,29-2011,Cytogenetic Technologists,"Extract, measure, dilute as appropriate, label, and prepare DNA for array analysis.",0.044,0.9
13338,29-2011,Cytotechnologists,"Examine cell samples to detect abnormalities in the color, shape, or size of cellular components and patterns.",0.005,0.9
13339,29-2011,Cytotechnologists,"Examine cell samples to detect abnormalities in the color, shape, or size of cellular components and patterns.",0.005,0.9
13340,29-2011,Cytotechnologists,"Examine cell samples to detect abnormalities in the color, shape, or size of cellular components and patterns.",0.005,0.9
13341,29-2011,Cytotechnologists,"Examine cell samples to detect abnormalities in the color, shape, or size of cellular components and patterns.",0.005,0.9
13342,29-2011,Cytotechnologists,Document specimens by verifying patients' and specimens' information.,0.062,0.9
13343,29-2011,Cytotechnologists,Document specimens by verifying patients' and specimens' information.,0.062,0.9
13344,29-2011,Cytotechnologists,Document specimens by verifying patients' and specimens' information.,0.062,0.9
13345,29-2011,Cytotechnologists,Document specimens by verifying patients' and specimens' information.,0.062,0.9
13346,29-2011,Cytotechnologists,Submit slides with abnormal cell structures to pathologists for further examination.,-0.068,0.9
13347,29-2011,Cytotechnologists,Submit slides with abnormal cell structures to pathologists for further examination.,-0.068,0.9
13348,29-2011,Cytotechnologists,Submit slides with abnormal cell structures to pathologists for further examination.,-0.068,0.9
13349,29-2011,Cytotechnologists,Submit slides with abnormal cell structures to pathologists for further examination.,-0.068,0.9
13350,29-2011,Cytotechnologists,"Prepare and analyze samples, such as Papanicolaou (PAP) smear body fluids and fine needle aspirations (FNAs), to detect abnormal conditions.",0.051,0.9
13351,29-2011,Cytotechnologists,"Prepare and analyze samples, such as Papanicolaou (PAP) smear body fluids and fine needle aspirations (FNAs), to detect abnormal conditions.",0.051,0.9
13352,29-2011,Cytotechnologists,"Prepare and analyze samples, such as Papanicolaou (PAP) smear body fluids and fine needle aspirations (FNAs), to detect abnormal conditions.",0.051,0.9
13353,29-2011,Cytotechnologists,"Prepare and analyze samples, such as Papanicolaou (PAP) smear body fluids and fine needle aspirations (FNAs), to detect abnormal conditions.",0.051,0.9
13354,29-2011,Cytotechnologists,"Examine specimens, using microscopes, to evaluate specimen quality.",-0.072,0.9
13355,29-2011,Cytotechnologists,"Examine specimens, using microscopes, to evaluate specimen quality.",-0.072,0.9
13356,29-2011,Cytotechnologists,"Examine specimens, using microscopes, to evaluate specimen quality.",-0.072,0.9
13357,29-2011,Cytotechnologists,"Examine specimens, using microscopes, to evaluate specimen quality.",-0.072,0.9
13358,29-2011,Cytotechnologists,"Maintain effective laboratory operations by adhering to standards of specimen collection, preparation, or laboratory safety.",0.216,0.9
13359,29-2011,Cytotechnologists,"Maintain effective laboratory operations by adhering to standards of specimen collection, preparation, or laboratory safety.",0.216,0.9
13360,29-2011,Cytotechnologists,"Maintain effective laboratory operations by adhering to standards of specimen collection, preparation, or laboratory safety.",0.216,0.9
13361,29-2011,Cytotechnologists,"Maintain effective laboratory operations by adhering to standards of specimen collection, preparation, or laboratory safety.",0.216,0.9
13362,29-2011,Cytotechnologists,Provide patient clinical data or microscopic findings to assist pathologists in the preparation of pathology reports.,0.012,0.9
13363,29-2011,Cytotechnologists,Provide patient clinical data or microscopic findings to assist pathologists in the preparation of pathology reports.,0.012,0.9
13364,29-2011,Cytotechnologists,Provide patient clinical data or microscopic findings to assist pathologists in the preparation of pathology reports.,0.012,0.9
13365,29-2011,Cytotechnologists,Provide patient clinical data or microscopic findings to assist pathologists in the preparation of pathology reports.,0.012,0.9
13366,29-2011,Cytotechnologists,Assist pathologists or other physicians to collect cell samples by fine needle aspiration (FNA) biopsy or other method.,-0.051,0.9
13367,29-2011,Cytotechnologists,Assist pathologists or other physicians to collect cell samples by fine needle aspiration (FNA) biopsy or other method.,-0.051,0.9
13368,29-2011,Cytotechnologists,Assist pathologists or other physicians to collect cell samples by fine needle aspiration (FNA) biopsy or other method.,-0.051,0.9
13369,29-2011,Cytotechnologists,Assist pathologists or other physicians to collect cell samples by fine needle aspiration (FNA) biopsy or other method.,-0.051,0.9
13370,29-2011,Cytotechnologists,"Prepare cell samples by applying special staining techniques, such as chromosomal staining, to differentiate cells or cell components.",-0.041,0.9
13371,29-2011,Cytotechnologists,"Prepare cell samples by applying special staining techniques, such as chromosomal staining, to differentiate cells or cell components.",-0.041,0.9
13372,29-2011,Cytotechnologists,"Prepare cell samples by applying special staining techniques, such as chromosomal staining, to differentiate cells or cell components.",-0.041,0.9
13373,29-2011,Cytotechnologists,"Prepare cell samples by applying special staining techniques, such as chromosomal staining, to differentiate cells or cell components.",-0.041,0.9
13374,29-2011,Cytotechnologists,"Adjust, maintain, or repair laboratory equipment, such as microscopes.",0.13,0.9
13375,29-2011,Cytotechnologists,"Adjust, maintain, or repair laboratory equipment, such as microscopes.",0.13,0.9
13376,29-2011,Cytotechnologists,"Adjust, maintain, or repair laboratory equipment, such as microscopes.",0.13,0.9
13377,29-2011,Cytotechnologists,"Adjust, maintain, or repair laboratory equipment, such as microscopes.",0.13,0.9
13378,29-2011,Cytotechnologists,Assign tasks or coordinate task assignments to ensure adequate performance of laboratory activities.,0.216,0.9
13379,29-2011,Cytotechnologists,Assign tasks or coordinate task assignments to ensure adequate performance of laboratory activities.,0.216,0.9
13380,29-2011,Cytotechnologists,Assign tasks or coordinate task assignments to ensure adequate performance of laboratory activities.,0.216,0.9
13381,29-2011,Cytotechnologists,Assign tasks or coordinate task assignments to ensure adequate performance of laboratory activities.,0.216,0.9
13382,29-2011,Cytotechnologists,Attend continuing education programs that address laboratory issues.,0.083,0.9
13383,29-2011,Cytotechnologists,Attend continuing education programs that address laboratory issues.,0.083,0.9
13384,29-2011,Cytotechnologists,Attend continuing education programs that address laboratory issues.,0.083,0.9
13385,29-2011,Cytotechnologists,Attend continuing education programs that address laboratory issues.,0.083,0.9
13386,29-2011,Cytotechnologists,Examine specimens to detect abnormal hormone conditions.,-0.002,0.9
13387,29-2011,Cytotechnologists,Examine specimens to detect abnormal hormone conditions.,-0.002,0.9
13388,29-2011,Cytotechnologists,Examine specimens to detect abnormal hormone conditions.,-0.002,0.9
13389,29-2011,Cytotechnologists,Examine specimens to detect abnormal hormone conditions.,-0.002,0.9
13390,29-2011,Histotechnologists,"Embed tissue specimens into paraffin wax blocks, or infiltrate tissue specimens with wax.",-0.054,0.9
13391,29-2011,Histotechnologists,"Embed tissue specimens into paraffin wax blocks, or infiltrate tissue specimens with wax.",-0.054,0.9
13392,29-2011,Histotechnologists,"Embed tissue specimens into paraffin wax blocks, or infiltrate tissue specimens with wax.",-0.054,0.9
13393,29-2011,Histotechnologists,"Embed tissue specimens into paraffin wax blocks, or infiltrate tissue specimens with wax.",-0.054,0.9
13394,29-2011,Histotechnologists,"Cut sections of body tissues for microscopic examination, using microtomes.",-0.081,0.9
13395,29-2011,Histotechnologists,"Cut sections of body tissues for microscopic examination, using microtomes.",-0.081,0.9
13396,29-2011,Histotechnologists,"Cut sections of body tissues for microscopic examination, using microtomes.",-0.081,0.9
13397,29-2011,Histotechnologists,"Cut sections of body tissues for microscopic examination, using microtomes.",-0.081,0.9
13398,29-2011,Histotechnologists,Stain tissue specimens with dyes or other chemicals to make cell details visible under microscopes.,-0.036,0.9
13399,29-2011,Histotechnologists,Stain tissue specimens with dyes or other chemicals to make cell details visible under microscopes.,-0.036,0.9
13400,29-2011,Histotechnologists,Stain tissue specimens with dyes or other chemicals to make cell details visible under microscopes.,-0.036,0.9
13401,29-2011,Histotechnologists,Stain tissue specimens with dyes or other chemicals to make cell details visible under microscopes.,-0.036,0.9
13402,29-2011,Histotechnologists,"Compile materials for distribution to pathologists, such as surgical working drafts, requisitions, and slides.",0.108,0.9
13403,29-2011,Histotechnologists,"Compile materials for distribution to pathologists, such as surgical working drafts, requisitions, and slides.",0.108,0.9
13404,29-2011,Histotechnologists,"Compile materials for distribution to pathologists, such as surgical working drafts, requisitions, and slides.",0.108,0.9
13405,29-2011,Histotechnologists,"Compile materials for distribution to pathologists, such as surgical working drafts, requisitions, and slides.",0.108,0.9
13406,29-2011,Histotechnologists,Compile and maintain records of preventive maintenance and instrument performance checks according to schedule and regulations.,0.29,0.9
13407,29-2011,Histotechnologists,Compile and maintain records of preventive maintenance and instrument performance checks according to schedule and regulations.,0.29,0.9
13408,29-2011,Histotechnologists,Compile and maintain records of preventive maintenance and instrument performance checks according to schedule and regulations.,0.29,0.9
13409,29-2011,Histotechnologists,Compile and maintain records of preventive maintenance and instrument performance checks according to schedule and regulations.,0.29,0.9
13410,29-2011,Histotechnologists,Perform tests by following physician instructions.,-0.04,0.9
13411,29-2011,Histotechnologists,Perform tests by following physician instructions.,-0.04,0.9
13412,29-2011,Histotechnologists,Perform tests by following physician instructions.,-0.04,0.9
13413,29-2011,Histotechnologists,Perform tests by following physician instructions.,-0.04,0.9
13414,29-2011,Histotechnologists,"Operate computerized laboratory equipment to dehydrate, decalcify, or microincinerate tissue samples.",0.047,0.9
13415,29-2011,Histotechnologists,"Operate computerized laboratory equipment to dehydrate, decalcify, or microincinerate tissue samples.",0.047,0.9
13416,29-2011,Histotechnologists,"Operate computerized laboratory equipment to dehydrate, decalcify, or microincinerate tissue samples.",0.047,0.9
13417,29-2011,Histotechnologists,"Operate computerized laboratory equipment to dehydrate, decalcify, or microincinerate tissue samples.",0.047,0.9
13418,29-2011,Histotechnologists,"Prepare substances, such as reagents and dilution, and stains for histological specimens according to protocols.",0.067,0.9
13419,29-2011,Histotechnologists,"Prepare substances, such as reagents and dilution, and stains for histological specimens according to protocols.",0.067,0.9
13420,29-2011,Histotechnologists,"Prepare substances, such as reagents and dilution, and stains for histological specimens according to protocols.",0.067,0.9
13421,29-2011,Histotechnologists,"Prepare substances, such as reagents and dilution, and stains for histological specimens according to protocols.",0.067,0.9
13422,29-2011,Histotechnologists,"Resolve problems with laboratory equipment and instruments, such as microscopes, mass spectrometers, microtomes, immunostainers, tissue processors, embedding centers, and water baths.",0.108,0.9
13423,29-2011,Histotechnologists,"Resolve problems with laboratory equipment and instruments, such as microscopes, mass spectrometers, microtomes, immunostainers, tissue processors, embedding centers, and water baths.",0.108,0.9
13424,29-2011,Histotechnologists,"Resolve problems with laboratory equipment and instruments, such as microscopes, mass spectrometers, microtomes, immunostainers, tissue processors, embedding centers, and water baths.",0.108,0.9
13425,29-2011,Histotechnologists,"Resolve problems with laboratory equipment and instruments, such as microscopes, mass spectrometers, microtomes, immunostainers, tissue processors, embedding centers, and water baths.",0.108,0.9
13426,29-2011,Histotechnologists,Examine slides under microscopes to ensure tissue preparation meets laboratory requirements.,0.019,0.9
13427,29-2011,Histotechnologists,Examine slides under microscopes to ensure tissue preparation meets laboratory requirements.,0.019,0.9
13428,29-2011,Histotechnologists,Examine slides under microscopes to ensure tissue preparation meets laboratory requirements.,0.019,0.9
13429,29-2011,Histotechnologists,Examine slides under microscopes to ensure tissue preparation meets laboratory requirements.,0.019,0.9
13430,29-2011,Histotechnologists,"Prepare or use prepared tissue specimens for teaching, research or diagnostic purposes.",-0.029,0.9
13431,29-2011,Histotechnologists,"Prepare or use prepared tissue specimens for teaching, research or diagnostic purposes.",-0.029,0.9
13432,29-2011,Histotechnologists,"Prepare or use prepared tissue specimens for teaching, research or diagnostic purposes.",-0.029,0.9
13433,29-2011,Histotechnologists,"Prepare or use prepared tissue specimens for teaching, research or diagnostic purposes.",-0.029,0.9
13434,29-2011,Histotechnologists,Perform procedures associated with histochemistry to prepare specimens for immunofluorescence or microscopy.,-0.053,0.9
13435,29-2011,Histotechnologists,Perform procedures associated with histochemistry to prepare specimens for immunofluorescence or microscopy.,-0.053,0.9
13436,29-2011,Histotechnologists,Perform procedures associated with histochemistry to prepare specimens for immunofluorescence or microscopy.,-0.053,0.9
13437,29-2011,Histotechnologists,Perform procedures associated with histochemistry to prepare specimens for immunofluorescence or microscopy.,-0.053,0.9
13438,29-2011,Histotechnologists,"Identify tissue structures or cell components to be used in the diagnosis, prevention, or treatment of diseases.",0.011,0.9
13439,29-2011,Histotechnologists,"Identify tissue structures or cell components to be used in the diagnosis, prevention, or treatment of diseases.",0.011,0.9
13440,29-2011,Histotechnologists,"Identify tissue structures or cell components to be used in the diagnosis, prevention, or treatment of diseases.",0.011,0.9
13441,29-2011,Histotechnologists,"Identify tissue structures or cell components to be used in the diagnosis, prevention, or treatment of diseases.",0.011,0.9
13442,29-2011,Histotechnologists,Supervise histology laboratory activities.,0.099,0.9
13443,29-2011,Histotechnologists,Supervise histology laboratory activities.,0.099,0.9
13444,29-2011,Histotechnologists,Supervise histology laboratory activities.,0.099,0.9
13445,29-2011,Histotechnologists,Supervise histology laboratory activities.,0.099,0.9
13446,29-2011,Histotechnologists,Teach students or other staff.,-0.0,0.9
13447,29-2011,Histotechnologists,Teach students or other staff.,-0.0,0.9
13448,29-2011,Histotechnologists,Teach students or other staff.,-0.0,0.9
13449,29-2011,Histotechnologists,Teach students or other staff.,-0.0,0.9
13450,29-2011,Histotechnologists,Perform electron microscopy or mass spectrometry to analyze specimens.,-0.078,0.9
13451,29-2011,Histotechnologists,Perform electron microscopy or mass spectrometry to analyze specimens.,-0.078,0.9
13452,29-2011,Histotechnologists,Perform electron microscopy or mass spectrometry to analyze specimens.,-0.078,0.9
13453,29-2011,Histotechnologists,Perform electron microscopy or mass spectrometry to analyze specimens.,-0.078,0.9
13454,29-2012,Medical and Clinical Laboratory Technicians,"Conduct chemical analyses of body fluids, such as blood or urine, using microscope or automatic analyzer to detect abnormalities or diseases and enter findings into computer.",0.062,0.47
13455,29-2012,Medical and Clinical Laboratory Technicians,"Conduct chemical analyses of body fluids, such as blood or urine, using microscope or automatic analyzer to detect abnormalities or diseases and enter findings into computer.",0.062,0.47
13456,29-2012,Medical and Clinical Laboratory Technicians,"Analyze the results of tests or experiments to ensure conformity to specifications, using special mechanical or electrical devices.",0.01,0.47
13457,29-2012,Medical and Clinical Laboratory Technicians,"Analyze the results of tests or experiments to ensure conformity to specifications, using special mechanical or electrical devices.",0.01,0.47
13458,29-2012,Medical and Clinical Laboratory Technicians,"Set up, maintain, calibrate, clean, and test sterility of medical laboratory equipment.",0.148,0.47
13459,29-2012,Medical and Clinical Laboratory Technicians,"Set up, maintain, calibrate, clean, and test sterility of medical laboratory equipment.",0.148,0.47
13460,29-2012,Medical and Clinical Laboratory Technicians,"Prepare standard volumetric solutions or reagents to be combined with samples, following standardized formulas or experimental procedures.",0.026,0.47
13461,29-2012,Medical and Clinical Laboratory Technicians,"Prepare standard volumetric solutions or reagents to be combined with samples, following standardized formulas or experimental procedures.",0.026,0.47
13462,29-2012,Medical and Clinical Laboratory Technicians,"Collect blood or tissue samples from patients, observing principles of asepsis to obtain blood sample.",0.006,0.47
13463,29-2012,Medical and Clinical Laboratory Technicians,"Collect blood or tissue samples from patients, observing principles of asepsis to obtain blood sample.",0.006,0.47
13464,29-2012,Medical and Clinical Laboratory Technicians,Supervise or instruct other technicians or laboratory assistants.,0.062,0.47
13465,29-2012,Medical and Clinical Laboratory Technicians,Supervise or instruct other technicians or laboratory assistants.,0.062,0.47
13466,29-2012,Medical and Clinical Laboratory Technicians,Conduct blood tests for transfusion purposes and perform blood counts.,-0.012,0.47
13467,29-2012,Medical and Clinical Laboratory Technicians,Conduct blood tests for transfusion purposes and perform blood counts.,-0.012,0.47
13468,29-2012,Medical and Clinical Laboratory Technicians,"Obtain specimens, cultivating, isolating, and identifying microorganisms for analysis.",-0.003,0.47
13469,29-2012,Medical and Clinical Laboratory Technicians,"Obtain specimens, cultivating, isolating, and identifying microorganisms for analysis.",-0.003,0.47
13470,29-2012,Medical and Clinical Laboratory Technicians,Examine cells stained with dye to locate abnormalities.,-0.031,0.47
13471,29-2012,Medical and Clinical Laboratory Technicians,Examine cells stained with dye to locate abnormalities.,-0.031,0.47
13472,29-2012,Medical and Clinical Laboratory Technicians,Consult with a pathologist to determine a final diagnosis when abnormal cells are found.,-0.056,0.47
13473,29-2012,Medical and Clinical Laboratory Technicians,Consult with a pathologist to determine a final diagnosis when abnormal cells are found.,-0.056,0.47
13474,29-2012,Medical and Clinical Laboratory Technicians,Perform medical research to further control or cure disease.,0.029,0.47
13475,29-2012,Medical and Clinical Laboratory Technicians,Perform medical research to further control or cure disease.,0.029,0.47
13476,29-2012,Medical and Clinical Laboratory Technicians,"Test raw materials, processes, or finished products to determine quality or quantity of materials or characteristics of a substance.",0.015,0.47
13477,29-2012,Medical and Clinical Laboratory Technicians,"Test raw materials, processes, or finished products to determine quality or quantity of materials or characteristics of a substance.",0.015,0.47
13478,29-2012,Medical and Clinical Laboratory Technicians,"Analyze and record test data to issue reports that use charts, graphs, or narratives.",0.096,0.47
13479,29-2012,Medical and Clinical Laboratory Technicians,"Analyze and record test data to issue reports that use charts, graphs, or narratives.",0.096,0.47
13480,29-2012,Histology Technicians,"Archive diagnostic material, such as histologic slides and blocks.",0.055,0.47
13481,29-2012,Histology Technicians,"Archive diagnostic material, such as histologic slides and blocks.",0.055,0.47
13482,29-2012,Histology Technicians,"Cut sections of body tissues for microscopic examination, using microtomes.",-0.081,0.47
13483,29-2012,Histology Technicians,"Cut sections of body tissues for microscopic examination, using microtomes.",-0.081,0.47
13484,29-2012,Histology Technicians,"Embed tissue specimens into paraffin wax blocks, or infiltrate tissue specimens with wax.",-0.054,0.47
13485,29-2012,Histology Technicians,"Embed tissue specimens into paraffin wax blocks, or infiltrate tissue specimens with wax.",-0.054,0.47
13486,29-2012,Histology Technicians,Freeze tissue specimens.,0.032,0.47
13487,29-2012,Histology Technicians,Freeze tissue specimens.,0.032,0.47
13488,29-2012,Histology Technicians,"Maintain laboratory equipment, such as microscopes, mass spectrometers, microtomes, immunostainers, tissue processors, embedding centers, and water baths.",0.104,0.47
13489,29-2012,Histology Technicians,"Maintain laboratory equipment, such as microscopes, mass spectrometers, microtomes, immunostainers, tissue processors, embedding centers, and water baths.",0.104,0.47
13490,29-2012,Histology Technicians,Mount tissue specimens on glass slides.,-0.013,0.47
13491,29-2012,Histology Technicians,Mount tissue specimens on glass slides.,-0.013,0.47
13492,29-2012,Histology Technicians,"Operate computerized laboratory equipment to dehydrate, decalcify, or microincinerate tissue samples.",0.047,0.47
13493,29-2012,Histology Technicians,"Operate computerized laboratory equipment to dehydrate, decalcify, or microincinerate tissue samples.",0.047,0.47
13494,29-2012,Histology Technicians,Stain tissue specimens with dyes or other chemicals to make cell details visible under microscopes.,-0.036,0.47
13495,29-2012,Histology Technicians,Stain tissue specimens with dyes or other chemicals to make cell details visible under microscopes.,-0.036,0.47
13496,29-2031,Cardiovascular Technologists and Technicians,"Conduct electrocardiogram (EKG), phonocardiogram, echocardiogram, stress testing, or other cardiovascular tests to record patients' cardiac activity, using specialized electronic test equipment, recording devices, or laboratory instruments.",0.033,0.23
13497,29-2031,Cardiovascular Technologists and Technicians,Explain testing procedures to patients to obtain cooperation and reduce anxiety.,0.073,0.23
13498,29-2031,Cardiovascular Technologists and Technicians,Monitor patients' blood pressure and heart rate using electrocardiogram (EKG) equipment during diagnostic or therapeutic procedures to notify the physician if something appears wrong.,0.057,0.23
13499,29-2031,Cardiovascular Technologists and Technicians,"Obtain and record patient identification, medical history, or test results.",0.029,0.23
13500,29-2031,Cardiovascular Technologists and Technicians,"Monitor patients' comfort and safety during tests, alerting physicians to abnormalities or changes in patient responses.",0.129,0.23
13501,29-2031,Cardiovascular Technologists and Technicians,Prepare and position patients for testing.,-0.005,0.23
13502,29-2031,Cardiovascular Technologists and Technicians,"Attach electrodes to the patients' chests, arms, and legs, connect electrodes to leads from the electrocardiogram (EKG) machine, and operate the EKG machine to obtain a reading.",-0.01,0.23
13503,29-2031,Cardiovascular Technologists and Technicians,Adjust equipment and controls according to physicians' orders or established protocol.,0.026,0.23
13504,29-2031,Cardiovascular Technologists and Technicians,"Check, test, and maintain cardiology equipment, making minor repairs when necessary, to ensure proper operation.",0.213,0.23
13505,29-2031,Cardiovascular Technologists and Technicians,Supervise or train other cardiology technologists or students.,-0.001,0.23
13506,29-2031,Cardiovascular Technologists and Technicians,Compare measurements of heart wall thickness and chamber sizes to standard norms to identify abnormalities.,-0.062,0.23
13507,29-2031,Cardiovascular Technologists and Technicians,Maintain a proper sterile field during surgical procedures.,0.155,0.23
13508,29-2031,Cardiovascular Technologists and Technicians,"Observe ultrasound display screen and listen to signals to record vascular information, such as blood pressure, limb volume changes, oxygen saturation, or cerebral circulation.",0.081,0.23
13509,29-2031,Cardiovascular Technologists and Technicians,"Assist physicians in the diagnosis and treatment of cardiac or peripheral vascular treatments, such as implanting pacemakers or assisting with balloon angioplasties to treat blood vessel blockages.",0.094,0.23
13510,29-2031,Cardiovascular Technologists and Technicians,Assess cardiac physiology and calculate valve areas from blood flow velocity measurements.,0.029,0.23
