職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
軟體研發工程師,生訊科技股份有限公司,1人,"軟體工程師
、醫療器材研發工程師",待遇面議,軟體工程系統開發、軟體程式設計、資料庫程式設計,不拘,台北市內湖區,不拘,"1.開發即時心電圖與生命徵象監視系統(Windows、Web-based、Mobile-based)
2.維護及優化既有程式碼
3.具生理訊號分析經驗者佳"
Infor LN ERP實施顧問（儲備顧問/儲備專案經理）,凌全科技股份有限公司,2~3人,"營運管理師／系統整合／ERP專案師
、軟體專案管理師
、MIS程式設計師","月薪40,000~65,000元",企業資源規劃管理(ERP),大學,台北市大安區,3年,"***非業務職，期望培訓出負責規劃與協助執行之企業顧問，為高專業度及高獨立性工作，歡迎對自已職涯及薪資有期許優秀人才加入我們***

1. 負責Infor ERP產品系統導入、客製報表開發修改、ERP流程管理。 
2. 協助USER電腦使用軟硬體問題處理。 
3. 協助教育訓練課程教學與SOP文件製作。 
4. 協助ERP與其他系統API介接。 
5. 協助客製報表開發程式標準化SOP文件製作。 
6. 負責實施過程中客戶提出的訂制開發需求收集和方案設計。
7. 對於程式開發有熱情，並且喜歡積極學習新事務。
8. 具備團隊合作能力&良好的邏輯分析及積極解決問題的工作態度。 
9. 有ERP流程概念及ERP系統操作經驗。 
10. 能適應出差和承受一定的工作壓力。"
包案-.NET Framework桌面軟體,世駿電子股份有限公司,1人,"全端工程師
、後端工程師
、軟體工程師","論件計酬50,000~150,000元",軟體程式設計,不拘,台北市內湖區,不拘," 設計、開發.NET Framework電腦桌面程式及界面。
無.NET Framework電腦桌面程式 經驗勿擾"
業務工程師(工作地點:台中),皮托科技股份有限公司,1~2人,"國內業務
、產品管理師
、軟體工程師","月薪40,000~60,000元",文件收發與檔案管理、文書處理╱排版能力、行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、管理行事曆與會議協調安排、顧客關係管理、客戶資料更新維護、業務或通路開發、業績目標分配與績效達成、業績與管理報表撰寫、廣告業務銷售能力、客戶情報蒐集、客訴案件處理、產品介紹及解說銷售,專科,台中市南屯區,不拘,"工作內容:電話接聽、軟體業務推廣及基本操作、客戶開發、報價、展覽和培訓課程協助、參展支援、案件跟催和追蹤、議價和投標業務、業務行程安排、產品簡介、行政事務處理、專案案件規劃。

成就樂趣：培養人文與科技溝通整合能力，接觸最先進工業4.0科技、樂在工作、成為先進知識工作者、樂於學習公司科技產品新知"
中央監控系統 機電自動化系統工程 （台北),傑和機電工程股份有限公司,1~2人,"網路管理工程師
、軟體專案主管
、資訊助理","月薪32,000~70,000元",不拘,專科,台北市中山區,不拘,"1.熟悉PLC HMI等各廠牌軟體 規劃 編輯。
2.具監控系統(SCADA或DCS或DDC)工作經驗,熟悉HMI ,PLC,儀電設計規劃等
3.有志從事中央監控系統,機電自動化系統工程等專業發展者
4.電機工程 資訊工程等相關理工科系或研究所畢業"
AOI軟體工程師,小物檢測有限公司,1人,軟體工程師,待遇面議,軟體程式設計、軟體工程系統開發,大學,桃園市龍潭區,不拘,"1.軟體系統整合(相機、燈源、外部硬體...等)。
2.了解影像處理、機械視覺的概念,開發自動化光學視覺檢測應用軟體
3.專案規劃、執行與維護量產的產品並測試與驗證系統功能相容性、效能、可靠度等。
4.協助研發軟體新技術與新工具，管理開發專案之流程。
5.了解相關單位對於資訊化之需求，思考合適之解決方案，協助整體資訊之發展與應用。
6.進行專案過程中必要之溝通協調工作。"
網頁視覺設計師 / 網頁切版設計師,巨創策略股份有限公司,1人,"網頁設計師
、商業設計
、前端工程師","月薪30,000~40,000元",色彩應用繪製、視覺設計相關知識、繪圖工具與軟體操作、使用者介面設計、網頁軟體操作、網頁語法撰寫,高中,新北市新店區,不拘,"1. 網頁視覺設計 , 且良好的視覺美感 
2. 網頁製作切版 , 具 Div + CSS 能力
3. 熟 HTML5 , CSS3 , RWD , JQ ,JS 者
4. 熱愛網頁設計工作者 , 具視覺設計能力者佳

面試時請提供視覺相關作品"
Web 前、後 全端工程師 asp.net,上駿企管顧問有限公司,1~2人,"全端工程師
、後端工程師
、Internet程式設計師","月薪45,000元以上",軟體程式設計、資料庫程式設計、企業資源規劃管理(ERP)、網路程式設計,大學,高雄市鼓山區,2年,"上駿企管是深耕 ERP(企業資源規劃)軟體 的開發團隊，擁有25年的商用軟體及產業經驗，培養規劃、輔導、服務、研發創新的專業人才，並深耕全台在地化服務，以專業提供最佳的解決方案。

以ERP軟體為核心，致力於整合「前店、後廠」、「線上、線下」提供多樣商業模式滿足企業及商家需求，致力於雲端計算、大數據、物聯網、人工智慧整合創新為指標，輔導台灣中小型企業達到數位化轉型。

如果您具備下列的條件，歡迎您加入我們的團隊。

【Web 前、後端工程師】職務內容
1.負責軟體之分析、設計以及程式撰寫。
2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3.現有軟體維護與bug修改。
4.協助研發軟體新技術與新工具。 

(1) 熟悉 C# asp.net core MVC、Ado.net 、Linq 、 Bootstrap、Html、 JS 、與 MS SQL 
→ 曾經用 C# 獨立開發出一個資料庫存取程式，該作品可完成 C.R.U.D 操作。
→ 雖然資料存取框架日新月異，但希望你對 Ado.net、Linq 有一定的熟悉程度。
→ 希望您具備直接下較複雜 T-SQL 指令的能力。
→ 希望您具備網頁前端排版，與後端開發的能力。
→ 若您常用的資料庫不是MS SQL Server，那至少須熟悉相類似軟體，例如 MySql。
(2) 具有學習新知的熱忱：開發技術日新月異，希望您對這些新技術常保學習熱忱。
(3) 良好的溝通能力與情緒管理，好的開發團隊奠基於好的溝通模式。"
網頁設計師,品漾國際事業有限公司,1人,"網頁設計師
、網站行銷企劃
、MIS程式設計師",待遇面議,不拘,不拘,台北市中山區,不拘,"1. 設計與製作公司形象規範、網站視覺風格。
2. 使用各種軟體製作專案網頁。
3. 與業務、企劃、程式設計等相關人員配合，協同執行專案。
4. 規劃與掌控專案時程及成本。
5. 設計電子報與用戶端互動平台，並進行維護。
6. 協助產品企劃、文案編輯、行銷文件等之規劃。
7. 負責網頁程式的開發設計與修正更新。
8. 協調其他網頁設計師，進行網站連結設計之相關事項。
9. 負責網站更新與管理。
10. 發想新的思維與創意，並應用於作品中。

這是一個具有前景的職位，因為在數位時代，網頁設計是企業成功的重要因素。本職位需要有創意、精確且有技術的人才，讓企業的網站能提供良好的使用者體驗。
我們誠摯邀請有志之士加入我們的團隊，共同創造優秀的產品及使用者體驗。"
網站行銷企劃,品漾國際事業有限公司,1人,"網站行銷企劃
、後端工程師
、全端工程師",待遇面議,不拘,不拘,台北市中山區,不拘,"1. 負責公司各資訊系統專案的前端修改、開發及維護更新工作
2. 配合行銷及營運需求規劃、開發、修改使⽤者友善的 UI/UX 流程，並與設計部門協作前端 UI 互動效果
3. 負責自有WordPress & WooCommerce電子商務網站建置、日常維運與改版更新。
4. 支援電腦設備系統管理與維運，支援使用者端問題排除，協助同仁正常作業
5. 其他主管交辦事項

網站行銷企劃是一個充滿挑戰的職位，對公司的發展至關重要。透過數據分析和策略規劃，網站行銷企劃能夠制定有效的推廣方案，幫助企業提高知名度和市場佔有率。 未來隨著數位行銷的發展，這個職位的發展前景也非常廣闊。
我們正在尋找有網站行銷企劃經驗和技能的人才，如果您具備相關資格和經驗，並且有興趣加入我們的團隊，請盡快申請！"
機電維護工程師(彰化二林),傑和機電工程股份有限公司,4~5人,"系統工程師
、空調冷凍技術人員
、建築物電力系統維修工","月薪28,590~45,000元",不拘,高中,彰化縣二林鎮,不拘,"1.維護電力、機電設備等系統效能，保持系統正常運作並進行除錯。
2.記錄各系統維護及異動的相關資訊。
3.回報所維護之軟、硬體問題，並將問題交由技術人員處理。"
電氣設備維護人員(日班),永裕興工程有限公司,1人,"生產技術／製程工程師
、系統工程師","月薪31,000元以上",不拘,高中,高雄市小港區,不拘,"1.電氣設備維護保養等相關工作
2.有意學習無經驗可
3.勞健保團險
4.三節獎金&年終獎金"
專案管理師,奕瑞科技有限公司,1人,"業務支援工程師
、軟體工程師
、軟韌體測試工程師",待遇面議,客戶情報蒐集、產品介紹及解說銷售,大學,台北市內湖區,不拘,"●Presales 為專案整合、成本導向的解決方案，提供下列工作服務： 
1.建構各種以 AI 視覺辨識需求的解決方案 
2.配合技術單位專案執行
3.情境分析，並建立解決方案POC及Demo Site 
4.協助業務作客戶需求訪談、需求分析、可行性方案建議 
5.Proposal製作、報價細項確認 
6.依據客戶需求及環境提供整合性系統建置 
7.定期提供公司內部各種技術、產品教育訓練

●工作內容 
- Presales 為主, 諮詢、建置、維護為輔 

●主要技術能力領域包含： 
Microsoft、Office 、硬體網路常識"
